Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,https://stockcharts.com/h-sc/ui?s=$TED,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,<,HYY Daily,Unnamed: 36,Unnamed: 37,Unnamed: 38,Weekly,3,4,7,16,29,43,55,Unnamed: 47,>,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,3.1,P,AA,Z,Y,Unnamed: 59,0.015872,0.01877,0.0218,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67
,T2Y,ADD 1,T10Y,ADD 2,T20Y,,,,,From,43826.0,To,45933,,Date,TED,HYS(US),HYS(EM),HYS(EU),HYY(US),HYY(EM),HYY(EU),T30Y,T20Y,T10Y,T2Y,T10Y-2Y,10Y BEI,5Y BEI,5-10 BEI,10Y TIPS,,,,HYY(US),HYY(EM),HYY(EU),,값으로 복붙,45933,45926,45905,45841,45751,45653,45569,Daily,HYY(EU),,,,,,304.0,Date,T2Y,T10Y,T20Y,U.S Recession,T2Y,T10Y,T20Y,,,,,
,,,,,,,,,,,,,,,40620,0.0024,0.050199999999999995,0.061200000000000004,0.0525,0.0716,0.0816,0.0767,0.0443,0.0417,0.03268,0.005889999999999999,0.02679,0.024300000000000002,0.0218,-0.0025000000000000022,0.008379999999999999,,,44916.0,0.0843,0.10279999999999999,0.0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40613,0.0023,0.048799999999999996,0.0599,0.0504,0.0713,0.0812,0.075,0.0454,0.0429,0.03402,0.00645,0.02757,0.024399999999999998,0.0217,-0.0026999999999999975,0.009620000000000004,,,44915.0,0.0857,0.1035,0.0742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40606,0.0019,0.046900000000000004,0.058899999999999994,0.0482,0.0705,0.08130000000000001,0.0738,0.046,0.0434,0.03492,0.006889999999999999,0.02803,0.024900000000000002,0.022400000000000003,-0.0024999999999999988,0.010019999999999998,,,44914.0,0.085,0.10310000000000001,0.0731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40599,0.0018,0.0472,0.058899999999999994,0.0495,0.07,0.08039999999999999,0.0729,0.0451,0.0426,0.034159999999999996,0.0072,0.026959999999999998,0.024,0.0217,-0.0023,0.010159999999999995,,,44911.0,0.084,0.1026,0.0726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40592,0.0021,0.0453,0.057300000000000004,0.049100000000000005,0.0695,0.08,0.0728,0.047,0.0446,0.03582,0.00755,0.028269999999999997,0.023399999999999997,0.0204,-0.0029999999999999957,0.01242,,,44910.0,0.0827,0.1018,0.0705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40585,0.0019,0.045899999999999996,0.0572,0.05,0.0709,0.0806,0.0741,0.0471,0.0449,0.036379999999999996,0.00838,0.027999999999999997,0.022799999999999997,0.018799999999999997,-0.004,0.013579999999999998,,,44909.0,0.081,0.1014,0.0699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40578,0.0016,0.046799999999999994,0.0579,0.0512,0.0712,0.0809,0.0751,0.0473,0.0451,0.036379999999999996,0.00752,0.028859999999999997,0.023799999999999998,0.0199,-0.0038999999999999972,0.012579999999999997,,,44908.0,0.08109999999999999,0.10189999999999999,0.0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40571,0.0015,0.050300000000000004,0.060700000000000004,0.0513,0.07139999999999999,0.0806,0.07429999999999999,0.0453,0.0426,0.03329,0.0054600000000000004,0.02783,0.0227,0.019299999999999998,-0.0034000000000000037,0.010589999999999999,,,44907.0,0.083,0.10289999999999999,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40564,0.0014000000000000002,0.050499999999999996,0.0594,0.0525,0.0727,0.0803,0.0748,0.045700000000000005,0.0433,0.03408,0.00617,0.027909999999999997,0.022400000000000003,0.0192,-0.003200000000000005,0.011679999999999996,,,44904.0,0.0833,0.10300000000000001,0.0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40557,0.0015,0.0512,0.0599,0.055,0.0727,0.08,0.0759,0.0453,0.042699999999999995,0.03331,0.005809999999999999,0.0275,0.0235,0.019299999999999998,-0.004200000000000002,0.00981,,,44903.0,0.0836,0.10300000000000001,0.0704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40550,0.0016,0.052300000000000006,0.060599999999999994,0.0581,0.0741,0.0808,0.077,0.044800000000000006,0.0425,0.03328,0.00597,0.027309999999999997,0.0236,0.0191,-0.0045000000000000005,0.009679999999999998,,,44902.0,0.0842,0.1036,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40543,0.0018,0.0541,0.0623,0.0603,0.076,0.0827,0.0796,0.0434,0.041299999999999996,0.03288,0.00605,0.02683,0.023,0.0183,-0.004699999999999999,0.00988,,,44901.0,0.0842,0.1036,0.0695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40536,0.0016,0.0537,0.0621,0.0591,0.076,0.08289999999999999,0.0786,0,0,0.034140000000000004,0x2a,0x2a,0.0233,0.0183,-0.005000000000000001,0.010840000000000002,,,44900.0,0.0834,0.1032,0.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40529,0.0019,0.0554,0.0629,0.058899999999999994,0.0768,0.08289999999999999,0.0794,0.0441,0.04190000000000001,0.033319999999999995,0.00609,0.027229999999999997,0.022799999999999997,0.0175,-0.005299999999999996,0.010519999999999998,,,44897.0,0.0827,0.10369999999999999,0.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40522,0.0017000000000000001,0.0554,0.0634,0.0596,0.077,0.08349999999999999,0.0797,0.0443,0.04190000000000001,0.03323,0.00644,0.02679,0.0216,0.0165,-0.0051,0.011630000000000001,,,44896.0,0.08259999999999999,0.1041,0.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40515,0.0016,0.0592,0.0667,0.0622,0.0779,0.08410000000000001,0.081,0.0432,0.0401,0.03007,0.0047599999999999995,0.02531,0.0217,0.016200000000000003,-0.005499999999999998,0.008369999999999999,,,44895.0,0.08460000000000001,0.1061,0.0707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40508,0.0013,0.0594,0.0649,0.060899999999999996,0.0766,0.0812,0.0788,0.0421,0.0388,0.0287,0.0051600000000000005,0.02354,0.0212,0.016,-0.0052,0.0075,,,44894.0,0.08650000000000001,0.11019999999999999,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40501,0.0014000000000000002,0.0581,0.0644,0.0565,0.0754,0.0808,0.075,0.0425,0.0391,0.028730000000000002,0.00513,0.023600000000000003,0.021099999999999997,0.0159,-0.005199999999999996,0.007630000000000005,,,44893.0,0.086,0.1109,0.0698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40494,0.0015,0.0575,0.0638,0.0579,0.0736,0.079,0.075,0.0426,0.0388,0.02789,0.00507,0.02282,0.020499999999999997,0.015700000000000002,-0.004799999999999995,0.007390000000000004,,,44890.0,0.085,0.11130000000000001,0.0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40487,0.0016,0.0579,0.0641,0.0557,0.07200000000000001,0.0775,0.0722,0.0412,0.0369,0.025390000000000003,0.0037099999999999998,0.021680000000000005,0.021,0.015700000000000002,-0.005299999999999999,0.0043900000000000015,,,44889.0,0.0849,0.1133,0.0694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,40480,0.0017000000000000001,0.0582,0.062,0.053399999999999996,0.0727,0.0761,0.0706,0.039900000000000005,0.0364,0.02603,0.0034000000000000002,0.02263,0.0213,0.0148,-0.006499999999999999,0.0047300000000000016,,,44888.0,0.0849,0.1134,0.0708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
