Unnamed: 0,"※ 데이터-모두 새로고침시 20분 지연시세 (현재가, 전일대비, 전주대비, 시가총액, 환율). But 일본과 상해는 25/10/03 기준",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
,기업정보,,,,,,Price,,,Market Cap,수익성,,활동성,밸류 (Oct-25),,,성장률,,밸류에이션,,,,,기대수익률 (10Y),,,기간별 수익률 (25/10/03),,,,,,괴리율 (EPS+HYY),,,,,,Fwd 12M EPS Consensus Change (%),,,,,,Fwd 12M EPS Consensus (USD),,,,,,
,Ticker,Corp,Exchange,WI26,FY 0,설립,현재가,전일대비,전주대비,(USD mn),ROE (Fwd),OPM (Fwd),CCC (FY 0),PER (Oct-25),% PER (Avg),PBR (Oct-25),Sales (3),,PER (3),PER (5),PER (10),PEG (Oct-25),PER (Avg),Price (10),Return (Y),DY (FY+1),W,1 M,3 M,6 M,YTD,12 M,W,1 M,3 M,6 M,YTD,12 M,W,1 M,3 M,6 M,YTD,12 M,45933,45926.0,45903.0,45841.0,45750.0,45653.0,45568.0
,340570.KQ,티앤엘,KOSDAQ,건강관리,45627,1998,"₩ 48,950",-0.020020020020020013,0,285.5830609634788,0.2194,0.29590338937816923,50.686560588871,8.68306946018209,-0.2684861448877768,1.9381886500210102,0.11676679234642916,Sales (3),6.462163641822734,5.181469767469675,2.9829124791718695,0.7436249027395353,11.87,"₩ 194,788",0.14810344685530263,0.014300306435137897,-0.012108980827447047,-0.0476653696498055,-0.1841666666666667,-0.32668500687757906,-0.24343122102009274,-0.3153846153846154,-0.002611084680358363,-0.04368388104904687,-0.03785626701171024,0.08937809299382082,0.17231932261135002,0.20999451416484585,0.00748274043134806,-0.09321980758550276,-0.2629405440040386,-0.32064284268183707,-0.14743823694553632,-0.12995427484371522,4.315510871109847,4.283458860309791,4.759158732414381,5.855037658092936,6.35234474918289,5.0618161148216565,4.960096632087537
,041830.KQ,인바디,KOSDAQ,건강관리,45627,1996,"₩ 31,750",0.07993197278911568,0,281.60999005257923,0.12539999999999998,0.17075569641003224,94.98183760387211,13.190744867280616,0.27139709564150505,1.3271818911006048,0.13245524002874662,Sales (3),8.582008490476989,6.691860030913242,3.5928709657904734,0.9958643285398028,10.375,"₩ 91,683",0.11187162845729781,0.012598425196850394,0.1400359066427288,0.17158671586715868,0.34533898305084754,0.4079822616407982,0.3986784140969164,0.28803245436105485,-0.14528944054042559,-0.1527668869390516,-0.22359081192429875,-0.31602431698324485,-0.3734112860864386,-0.3715514873065696,0.01694927204145668,0.01694927204145668,0.08083056080088716,0.008622015859474535,-0.0510592105263158,-0.10808320656946048,2.0497228932783855,2.015560608213727,2.015560608213727,1.8964331391217848,2.032201222111695,2.1600113684808866,2.298109990052579
,050890.KQ,쏠리드,KOSDAQ,IT하드웨어,45627,1998,"₩ 6,370",0.0015723270440251014,0,276.0876083558334,0.09539999999999998,0.10975254730713246,100.98227306664198,15.394153798229318,0.30411565518099026,1.1259321038880732,0.040425690863929706,Sales (3),10.61570678132831,9.806787824937153,8.04398850902103,3.8080125457954592,11.804285714285715,"₩ 9,348",0.03909876134150947,0.007849293563579277,0.011111111111111072,0.037459283387622166,-0.09259259259259256,-0.01393188854489169,-0.04066265060240959,0.4077348066298343,0.0016175642237730506,-0.0006572452269341875,-0.02510431068920138,-0.017489684373760875,-0.1555438192597468,-0.6517584227906859,0.03493148127403759,0.03493148127403759,-0.1586145136074556,-0.1147575017167314,-0.27253280839895,-0.26858778978479725,0.3938681256217138,0.38057410828478044,0.38057410828478044,0.46811851641324426,0.44492681540429163,0.5414239022310643,0.5385036237032826
,086390.KQ,유니테스트,KOSDAQ,반도체,45627,2000,"₩ 18,250",-0.003820960698689979,0,275.1010373738809,0.157,0.09112081513828238,194.6254598297405,-62.557838704403345,-1.6039421591910152,3.2417401480713766,0.6759938805232594,Sales (3),7.017570144819806,2.498284567313337,0.18892079406239518,-0.9254201925020367,103.58250000000001,"₩ 10,006,207",0.8788870046819912,0,-0.10319410319410316,0.18660598179453847,,,1.0928899082568808,,0.11489528063797766,-0.1508314415248601,,,,,0.033903983383027976,0.033903983383027976,,,,,0.6578300412107432,0.6362583487281511,0.6362583487281511,,,,
,403550.KS,쏘카,KOSPI,운송,45627,2011,"₩ 11,550",-0.011130136986301387,0,272.55463976126185,,0.03427024999330136,11.743471112669758,#N/A PER (Oct-25),,#N/A PBR (Oct-25),0.097297366548364,Sales (3),70.79360285642103,58.795669682312194,36.959293153794604,,663.7233333333332,"₩ 207,418",0.33483118063351514,,-0.03266331658291455,0.008733624454148492,-0.13547904191616766,-0.19791666666666663,-0.357976653696498,-0.3576195773081201,0.11604145059154164,0.09871787238028244,0.6004639144593804,3.5829342669442763,3.096465154395454,15.707484955751339,0.10558093994778055,0.10558093994778055,0.42406726221755103,3.301681671479531,2.6621621621621623,15.325301204819274,0.09627682250959214,0.08708256359243996,0.08708256359243996,0.06760693477334091,-0.04182890436265454,0.026289612050589738,0.005897399459997158
,215000.KQ,골프존,KOSDAQ,"호텔,레저서비스",45627,2015,"₩ 61,900",0.014754098360655776,0,271.99111837430723,0.1458,0.1923894823747217,106.16359496300821,6.502449131331547,-0.18604924032776748,0.8122484153182608,-0.011420248164468617,Sales (3),5.689050704854043,5.82125176472168,6.165351302322586,-5.69378969501063,7.98875,"₩ 80,207",0.026247471918279253,0.06462035541195477,0.026533996683250516,-0.008012820512820484,-0.1041968162083936,0.0032414910858995505,-0.06495468277945615,-0.11444921316165957,-0.03727616398819595,0.021344016033678907,0.1021371611524285,-0.0730371086871015,-0.0025019518437903177,0.007011774499800366,0.011460638634208037,0.011460638634208037,-0.04297726538162676,-0.15313154639928078,-0.14378297316004007,-0.1320016122858049,7.91060821372744,7.820974847236037,7.820974847236037,8.26585192553645,9.34101179479892,9.23902231064374,9.113620861162426
,114840.KQ,아이패밀리에스씨,KOSDAQ,"화장품,의류,완구",45627,2000,"₩ 20,750",-0.030373831775700966,0,268.8928520676424,0.2644,0.14483888059342034,94.9565587436649,12.731458871203225,0.05169001768258874,3.1093853548170274,0.17571147883090754,Sales (3),7.436976975427329,5.380156641536013,2.394920648230143,0.7245661442218635,12.105714285714287,"₩ 104,886",0.1758987511501513,0.005975903614457831,-0.0674157303370787,-0.17000000000000004,0.1579241071428572,0.07069143446852433,0.12344342176502443,-0.1056034482758621,0.06499254456859081,0.19165017705731602,-0.08391201427036377,-0.03389349847151127,-0.1571435382546859,-0.0390091944428512,0.01977962017066558,0.01977962017066558,0.03309448254683178,-0.04653799280106576,-0.11002645502645507,-0.169176816342659,1.4341764956657665,1.4063592439960209,1.4063592439960209,1.3882336222822225,1.5041779167258775,1.6114821656956089,1.726211453744493
,039440.KQ,에스티아이,KOSDAQ,반도체,45627,1997,"₩ 24,050",0.014767932489451407,0,266.57027142248114,0.1925,0.13005735140771638,22.651644189162212,13.545873504931903,0.07453632166043844,1.2613791516259323,0.23960237405938903,Sales (3),4.204669933779664,2.736321423941328,0.9348783751702727,0.5653480504151581,12.606250000000001,"₩ 324,299",0.2971287346194107,0.008316008316008316,0.08823529411764697,0.35875706214689274,0.25587467362924277,0.10068649885583514,0.4105571847507332,0.12910798122065725,-0.05561648425584276,-0.30206488945928467,-0.27666130942485206,-0.036085593506192115,-0.4324963500899087,-0.321777304744159,0.05482161580095768,0.05482161580095768,-0.06170424612127094,-0.018735023448435802,-0.09826550387596907,-0.21723349714744747,2.644848657098195,2.507389512576382,2.507389512576382,2.818779309364786,2.69534602813699,2.9330680687793094,3.3788475202501065
,091700.KQ,파트론,KOSDAQ,IT하드웨어,45627,2003,"₩ 6,490",0.0015432098765431057,0,262.4413812704277,0.06309999999999999,0.03118279569892473,44.081769507801226,16.48896998502454,0.16818774247428547,0.628200302347589,-0.01523357447994809,Sales (3),11.501441201404454,11.860030249828595,12.806180821418847,-10.82409778921482,14.115,"₩ 7,153",0.009778513323221771,0.046224961479198766,0.01724137931034475,0.01724137931034475,0.0030911901081915882,-0.042772861356932146,-0.08333333333333337,-0.08333333333333337,0.005168216459596642,-0.07955751224967778,-0.06446155978777539,-0.08420823932221605,-0.07972594904490568,-0.16872548217720962,0.04461240170909486,-0.06418668982598341,-0.10228798000524546,-0.21031702947722702,-0.23938562091503265,-0.2766229891344887,0.4134361233480176,0.3957794514707972,0.44179337785988343,0.4605442660224527,0.5235469660366633,0.5435554923973284,0.5715361659798209
,104700.KS,한국철강,KOSPI,철강,45627,2008,"₩ 10,100",0.005976095617529875,0,260.0241580218843,0.030899999999999997,0.023399522122435526,76.14973708905269,30.227156451083857,1.4805403887173156,0.40738337316355633,-0.03391500180212713,Sales (3),16.210162933636987,17.36827566923152,20.63858946982412,-8.91262121330273,12.185714285714285,"₩ 5,963",-0.051325782219332816,0.06930693069306931,0.007984031936127733,0.022267206477732726,0.07790821771611522,0.270440251572327,0.16763005780346818,0.17990654205607481,0.02778463597574902,0.03757482425994788,-0.13016202160184479,-0.402159350523284,-0.23433324429876695,-0.3500977481484275,0.05797147385103022,0.05797147385103022,-0.09317141421139122,-0.21505502774903584,-0.14302952503209238,-0.19475537971629836,0.47433565439818104,0.4483444649708682,0.4483444649708682,0.523070910899531,0.6042916015347449,0.5535029131732272,0.5890578371465113
